chr	start	end	extra
1	54676	11551815	cn={'1': {'A': 1, 'B': 0}, '2': {'A': 1, 'B': 0}}
1	11551816	11553217	cn={'1': {'A': 1, 'B': 0}, '2': {'A': 0, 'B': 0}}
1	11553218	14178753	cn={'1': {'A': 1, 'B': 0}, '2': {'A': 1, 'B': 0}}
1	14178754	14180678	cn={'1': {'A': 1, 'B': 0}, '2': {'A': 1, 'B': 0}}
1	14180679	17285059	cn={'1': {'A': 1, 'B': 2}, '2': {'A': 1, 'B': 2}}
1	17285060	17285683	cn={'1': {'A': 1, 'B': 2}, '2': {'A': 1, 'B': 1}}
1	17285684	20504691	cn={'1': {'A': 1, 'B': 2}, '2': {'A': 1, 'B': 2}}
1	20504692	20520170	cn={'1': {'A': 1, 'B': 2}, '2': {'A': 1, 'B': 2}}
1	20520171	20843480	cn={'1': {'A': 1, 'B': 1}, '2': {'A': 1, 'B': 1}}
1	20843481	20845052	cn={'1': {'A': 1, 'B': 1}, '2': {'A': 1, 'B': 0}}
1	20845053	29312664	cn={'1': {'A': 1, 'B': 1}, '2': {'A': 1, 'B': 1}}
1	29312665	43914554	cn={'1': {'A': 1, 'B': 1}, '2': {'A': 1, 'B': 1}}
1	43914555	43920514	cn={'1': {'A': 1, 'B': 1}, '2': {'A': 1, 'B': 1}}
1	43920515	57939820	cn={'1': {'A': 1, 'B': 1}, '2': {'A': 1, 'B': 1}}
1	57939821	57973360	cn={'1': {'A': 1, 'B': 0}, '2': {'A': 1, 'B': 0}}
1	57973361	65332294	cn={'1': {'A': 1, 'B': 0}, '2': {'A': 1, 'B': 0}}
1	65332295	65334590	cn={'1': {'A': 0, 'B': 0}, '2': {'A': 1, 'B': 0}}
1	65334591	67541900	cn={'1': {'A': 0, 'B': 0}, '2': {'A': 1, 'B': 0}}
1	67541901	67565182	cn={'1': {'A': 0, 'B': 0}, '2': {'A': 1, 'B': 0}}
1	67565183	117588895	cn={'1': {'A': 1, 'B': 0}, '2': {'A': 1, 'B': 0}}
1	117588896	117589628	cn={'1': {'A': 1, 'B': 1}, '2': {'A': 1, 'B': 1}}
1	117589629	146357067	cn={'1': {'A': 1, 'B': 1}, '2': {'A': 1, 'B': 1}}
1	146357068	149284536	cn={'1': {'A': 1, 'B': 1}, '2': {'A': 1, 'B': 1}}
1	149284537	149284932	cn={'1': {'A': 1, 'B': 1}, '2': {'A': 1, 'B': 1}}
1	149284933	152933068	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 2, 'B': 1}}
1	152933069	153057232	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 2, 'B': 1}}
1	153057233	153058296	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 1, 'B': 1}}
1	153058297	153445283	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 2, 'B': 1}}
1	153445284	153446530	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 1, 'B': 1}}
1	153446531	154319160	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 2, 'B': 1}}
1	154319161	154333316	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 2, 'B': 1}}
1	154333317	154333648	cn={'1': {'A': 3, 'B': 1}, '2': {'A': 3, 'B': 1}}
1	154333649	154338368	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 2, 'B': 1}}
1	154338369	156990402	cn={'1': {'A': 3, 'B': 1}, '2': {'A': 3, 'B': 1}}
1	156990403	157001579	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 2, 'B': 1}}
1	157001580	164087578	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 2, 'B': 1}}
1	164087579	164096305	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 2, 'B': 1}}
1	164096306	175036997	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 2, 'B': 1}}
1	175036998	175039859	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 2, 'B': 1}}
1	175039860	196662217	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 2, 'B': 1}}
1	196662218	196666229	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 2, 'B': 1}}
1	196666230	197770716	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 2, 'B': 1}}
1	197770717	204041551	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 2, 'B': 1}}
1	204041552	204044259	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 2, 'B': 1}}
1	204044260	217494021	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 2, 'B': 1}}
1	217494022	217497756	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 2, 'B': 1}}
1	217497757	217874288	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 2, 'B': 1}}
1	217874289	217874368	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 2, 'B': 1}}
1	217874369	217874515	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 2, 'B': 1}}
1	217874516	217875431	cn={'1': {'A': 1, 'B': 1}, '2': {'A': 1, 'B': 1}}
1	217875432	217875684	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 1, 'B': 1}}
1	217875685	217875833	cn={'1': {'A': 2, 'B': 2}, '2': {'A': 1, 'B': 1}}
1	217875834	217876000	cn={'1': {'A': 2, 'B': 1}, '2': {'A': 1, 'B': 1}}
1	217876001	226227485	cn={'1': {'A': 1, 'B': 1}, '2': {'A': 1, 'B': 1}}
1	226227486	226227622	cn={'1': {'A': 1, 'B': 0}, '2': {'A': 1, 'B': 0}}
1	226227623	244878204	cn={'1': {'A': 1, 'B': 0}, '2': {'A': 1, 'B': 0}}
1	244878205	244880428	cn={'1': {'A': 1, 'B': 0}, '2': {'A': 1, 'B': 0}}
1	244880429	249219621	cn={'1': {'A': 1, 'B': 0}, '2': {'A': 1, 'B': 0}}
10	90127	13031944	cn={'1': {'A': 0, 'B': 1}, '2': {'A': 0, 'B': 1}}
10	13031945	13032473	cn={'1': {'A': 0, 'B': 1}, '2': {'A': 0, 'B': 0}}
10	13032474	21823584	cn={'1': {'A': 0, 'B': 1}, '2': {'A': 0, 'B': 1}}
10	21823585	21856295	cn={'1': {'A': 0, 'B': 1}, '2': {'A': 0, 'B': 1}}
10	21856296	23698550	cn={'1': {'A': 1, 'B': 1}, '2': {'A': 1, 'B': 1}}
