chr	start	end	extra
1	0	49999	cn={'1': {'A': 0, 'B': 1}}
1	50000	99999	cn={'1': {'A': 0, 'B': 1}}
1	100000	149999	cn={'1': {'A': 0, 'B': 1}}
1	150000	199999	cn={'1': {'A': 0, 'B': 1}}
1	200000	549999	cn={'1': {'A': 0, 'B': 1}}
1	550000	624999	cn={'1': {'A': 0, 'B': 1}}
1	625000	909542	cn={'1': {'A': 0, 'B': 1}}
1	909543	14180678	cn={'1': {'A': 0, 'B': 1}}
1	14180679	14199999	cn={'1': {'A': 1, 'B': 1}}
1	14200000	15949999	cn={'1': {'A': 1, 'B': 1}}
1	15950000	15999999	cn={'1': {'A': 1, 'B': 1}}
1	16000000	16849999	cn={'1': {'A': 1, 'B': 1}}
1	16850000	17149999	cn={'1': {'A': 1, 'B': 1}}
1	17150000	20499999	cn={'1': {'A': 1, 'B': 1}}
1	20500000	20549999	cn={'1': {'A': 1, 'B': 1}}
1	20550000	20843480	cn={'1': {'A': 1, 'B': 1}}
1	20843481	20845052	cn={'1': {'A': 0, 'B': 1}}
1	20845053	24049999	cn={'1': {'A': 1, 'B': 1}}
1	24050000	24099999	cn={'1': {'A': 1, 'B': 1}}
1	24100000	25599999	cn={'1': {'A': 1, 'B': 1}}
1	25600000	25649999	cn={'1': {'A': 1, 'B': 1}}
1	25650000	29312664	cn={'1': {'A': 1, 'B': 1}}
1	29312665	43914554	cn={'1': {'A': 1, 'B': 1}}
1	43914555	43920514	cn={'1': {'A': 1, 'B': 1}}
1	43920515	47649999	cn={'1': {'A': 1, 'B': 1}}
1	47650000	47699999	cn={'1': {'A': 1, 'B': 1}}
1	47700000	57939820	cn={'1': {'A': 1, 'B': 1}}
1	57939821	57974999	cn={'1': {'A': 0, 'B': 1}}
1	57975000	65332294	cn={'1': {'A': 0, 'B': 1}}
1	65332295	65349999	cn={'1': {'A': 0, 'B': 0}}
1	65350000	67524999	cn={'1': {'A': 0, 'B': 0}}
1	67525000	67565182	cn={'1': {'A': 0, 'B': 0}}
1	67565183	117588895	cn={'1': {'A': 0, 'B': 1}}
1	117588896	117599999	cn={'1': {'A': 1, 'B': 1}}
1	117600000	120699999	cn={'1': {'A': 1, 'B': 1}}
1	120700000	120749999	cn={'1': {'A': 1, 'B': 1}}
1	120750000	120849999	cn={'1': {'A': 1, 'B': 1}}
1	120850000	120899999	cn={'1': {'A': 1, 'B': 1}}
1	120900000	121199999	cn={'1': {'A': 1, 'B': 1}}
1	121200000	131999999	cn={'1': {'A': 1, 'B': 1}}
1	132000000	142749999	cn={'1': {'A': 1, 'B': 1}}
1	142750000	142899999	cn={'1': {'A': 1, 'B': 1}}
1	142900000	142949999	cn={'1': {'A': 1, 'B': 1}}
1	142950000	143749999	cn={'1': {'A': 1, 'B': 1}}
1	143750000	143824999	cn={'1': {'A': 1, 'B': 1}}
1	143825000	143999999	cn={'1': {'A': 1, 'B': 1}}
1	144000000	144049999	cn={'1': {'A': 1, 'B': 1}}
1	144050000	144124999	cn={'1': {'A': 1, 'B': 1}}
