chr	start	end	extra
1	0	49999	cn={'1': {'A': 1, 'B': 1}}
1	50000	649999	cn={'1': {'A': 1, 'B': 1}}
1	650000	2174999	cn={'1': {'A': 1, 'B': 1}}
1	2175000	2249999	cn={'1': {'A': 1, 'B': 1}}
1	2250000	5799999	cn={'1': {'A': 1, 'B': 1}}
1	5800000	5849999	cn={'1': {'A': 1, 'B': 1}}
1	5850000	6599999	cn={'1': {'A': 1, 'B': 1}}
1	6600000	6649999	cn={'1': {'A': 1, 'B': 1}}
1	6650000	7649999	cn={'1': {'A': 1, 'B': 1}}
1	7650000	7699999	cn={'1': {'A': 1, 'B': 1}}
1	7700000	9149999	cn={'1': {'A': 1, 'B': 1}}
1	9150000	9199999	cn={'1': {'A': 1, 'B': 1}}
1	9200000	13049999	cn={'1': {'A': 1, 'B': 1}}
1	13050000	13149999	cn={'1': {'A': 1, 'B': 1}}
1	13150000	13274999	cn={'1': {'A': 1, 'B': 1}}
1	13275000	13349999	cn={'1': {'A': 1, 'B': 1}}
1	13350000	17249999	cn={'1': {'A': 1, 'B': 1}}
1	17250000	17299999	cn={'1': {'A': 1, 'B': 1}}
1	17300000	19249999	cn={'1': {'A': 1, 'B': 1}}
1	19250000	19299999	cn={'1': {'A': 1, 'B': 1}}
1	19300000	27599999	cn={'1': {'A': 1, 'B': 1}}
1	27600000	27649999	cn={'1': {'A': 1, 'B': 1}}
1	27650000	31599999	cn={'1': {'A': 1, 'B': 1}}
1	31600000	31649999	cn={'1': {'A': 1, 'B': 1}}
1	31650000	33349999	cn={'1': {'A': 1, 'B': 1}}
1	33350000	33399999	cn={'1': {'A': 1, 'B': 1}}
1	33400000	36099999	cn={'1': {'A': 1, 'B': 1}}
1	36100000	36149999	cn={'1': {'A': 1, 'B': 1}}
1	36150000	37549999	cn={'1': {'A': 1, 'B': 1}}
1	37550000	37599999	cn={'1': {'A': 1, 'B': 1}}
1	37600000	39903184	cn={'1': {'A': 1, 'B': 1}}
1	39903185	40193965	cn={'1': {'A': 1, 'B': 2}}
1	40193966	41999999	cn={'1': {'A': 1, 'B': 1}}
1	42000000	42049999	cn={'1': {'A': 1, 'B': 1}}
1	42050000	42249999	cn={'1': {'A': 1, 'B': 1}}
1	42250000	42299999	cn={'1': {'A': 1, 'B': 1}}
1	42300000	44299999	cn={'1': {'A': 1, 'B': 1}}
1	44300000	44399999	cn={'1': {'A': 1, 'B': 1}}
1	44400000	48179566	cn={'1': {'A': 1, 'B': 1}}
1	48179567	48199999	cn={'1': {'A': 1, 'B': 2}}
1	48200000	48934806	cn={'1': {'A': 1, 'B': 2}}
1	48934807	48949999	cn={'1': {'A': 1, 'B': 1}}
1	48950000	49299999	cn={'1': {'A': 1, 'B': 1}}
1	49300000	49349999	cn={'1': {'A': 1, 'B': 1}}
1	49350000	49624999	cn={'1': {'A': 1, 'B': 1}}
1	49625000	49749999	cn={'1': {'A': 1, 'B': 1}}
1	49750000	58099999	cn={'1': {'A': 1, 'B': 1}}
1	58100000	58149999	cn={'1': {'A': 1, 'B': 1}}
1	58150000	61242736	cn={'1': {'A': 1, 'B': 1}}
1	61242737	73997899	cn={'1': {'A': 1, 'B': 1}}
1	73997900	73999999	cn={'1': {'A': 0, 'B': 1}}
1	74000000	85949999	cn={'1': {'A': 0, 'B': 1}}
1	85950000	86049999	cn={'1': {'A': 0, 'B': 1}}
1	86050000	94322783	cn={'1': {'A': 0, 'B': 1}}
1	94322784	99099999	cn={'1': {'A': 0, 'B': 1}}
1	99100000	99119211	cn={'1': {'A': 0, 'B': 1}}
1	99119212	99120582	cn={'1': {'A': 0, 'B': 2}}
1	99120583	99121340	cn={'1': {'A': 0, 'B': 1}}
1	99121341	99149999	cn={'1': {'A': 1, 'B': 1}}
1	99150000	99432013	cn={'1': {'A': 1, 'B': 1}}
1	99432014	99599999	cn={'1': {'A': 1, 'B': 2}}
1	99600000	99603319	cn={'1': {'A': 1, 'B': 2}}
1	99603320	99649999	cn={'1': {'A': 1, 'B': 1}}
1	99650000	100099999	cn={'1': {'A': 1, 'B': 1}}
1	100100000	100130817	cn={'1': {'A': 1, 'B': 1}}
1	100130818	100292810	cn={'1': {'A': 1, 'B': 1}}
1	100292811	100299999	cn={'1': {'A': 0, 'B': 1}}
1	100300000	100599999	cn={'1': {'A': 0, 'B': 1}}
1	100600000	100641302	cn={'1': {'A': 0, 'B': 1}}
1	100641303	100648594	cn={'1': {'A': 0, 'B': 3}}
1	100648595	100649999	cn={'1': {'A': 0, 'B': 2}}
1	100650000	108799999	cn={'1': {'A': 0, 'B': 2}}
1	108800000	108849999	cn={'1': {'A': 0, 'B': 2}}
1	108850000	108949999	cn={'1': {'A': 0, 'B': 2}}
1	108950000	108999999	cn={'1': {'A': 0, 'B': 2}}
1	109000000	110674999	cn={'1': {'A': 0, 'B': 2}}
1	110675000	110721783	cn={'1': {'A': 0, 'B': 2}}
1	110721784	110749999	cn={'1': {'A': 1, 'B': 2}}
1	110750000	110999999	cn={'1': {'A': 1, 'B': 2}}
