chr	start	end	extra
1	0	149999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	150000	199999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	200000	299999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	300000	449999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	450000	549999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	550000	624999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	625000	699999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	700000	849999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	850000	1249999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	1250000	1299999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	1300000	1499999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	1500000	1599999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	1600000	1649999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	1650000	1749999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	1750000	2599999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	2600000	2649999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	2650000	2699999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	2700000	2899999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	2900000	2949999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	2950000	3049999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	3050000	3099999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	3100000	3399999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	3400000	3449999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	3450000	3499999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	3500000	3549999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	3550000	3599999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	3600000	3649999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	3650000	5699999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	5700000	5749999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	5750000	5849999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	5850000	5899999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	5900000	6149999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	6150000	6199999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	6200000	6699999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	6700000	6738216	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	6738217	6749999	cn={'1': {'A': 1, 'B': 2}, '4': {'A': 1, 'B': 2}}
1	6750000	7549999	cn={'1': {'A': 1, 'B': 2}, '4': {'A': 1, 'B': 2}}
1	7550000	7559060	cn={'1': {'A': 1, 'B': 2}, '4': {'A': 1, 'B': 2}}
1	7559061	7599999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	7600000	8899999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	8900000	12199999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	12200000	12249999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	12250000	12799999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	12800000	13049999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	13050000	13099999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	13100000	13149999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	13150000	13199999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	13200000	13274999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	13275000	13349999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	13350000	13399999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	13400000	13449999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	13450000	15999999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
1	16000000	16049999	cn={'1': {'A': 1, 'B': 1}, '4': {'A': 1, 'B': 1}}
