aid	chr1	coord1	strand1	chr2	coord2	strand2	extra
6	1	936452	-	1	1209066	+	aid=6;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
27	1	936773	+	12	6278680	+	aid=27;cn={'2': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
653	1	1138840	-	5	119740959	+	aid=653;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
652	1	1139038	+	5	119737907	-	aid=652;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
15	1	3207809	-	1	4034373	+	aid=15;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
16	1	4085489	-	1	4163145	+	aid=16;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
23	1	5010298	-	1	5044876	+	aid=23;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
216	1	8179225	-	20	35633583	-	aid=216;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
40	1	8307114	-	1	8307640	+	aid=40;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
89	1	9928499	+	22	19280123	+	aid=89;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
64	1	15196301	+	1	15269681	-	aid=64;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
63	1	15237990	-	1	15249937	+	aid=63;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
68	1	15879780	-	1	15970185	+	aid=68;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
114	1	21068728	+	1	22325420	-	aid=114;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
135	1	22452282	+	22	24132480	+	aid=135;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
519	1	24254294	-	8	90283006	-	aid=519;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
