aid	chr1	coord1	strand1	chr2	coord2	strand2	extra
54	1	80885110	+	1	87346275	-	aid=54;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}};at=N
159	1	212348758	+	1	213364307	-	aid=159;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}};at=N
26	10	55663657	-	10	55667971	-	aid=26;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
63	10	55664169	+	10	88669617	+	aid=63;cn={'2': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 3, 'BB': 0}};at=N
116	10	55669155	+	10	105882151	-	aid=116;cn={'2': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
100	10	55679709	-	10	103396275	+	aid=100;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 2, 'BA': 0, 'BB': 0}};at=N
94	10	55679979	+	10	102769408	+	aid=94;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
36	10	55680062	-	10	64795872	+	aid=36;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
84	10	55684112	+	10	96191377	-	aid=84;cn={'2': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
123	10	55692146	-	10	114061946	-	aid=123;cn={'2': {'AA': 0, 'AB': 2, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 4, 'BA': 0, 'BB': 0}};at=N
86	10	55694592	-	10	97376236	-	aid=86;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
108	10	55731590	+	10	104658817	+	aid=108;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
121	10	55731774	-	10	113645067	-	aid=121;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
66	10	55745731	+	10	89551187	+	aid=66;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}};at=N
115	10	55745732	-	10	105861236	-	aid=115;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}};at=N
59	10	56401601	+	10	88648545	-	aid=59;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
74	10	56412674	-	10	91174814	+	aid=74;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
