chr	start	end	extra
1	0	48179566	cn={'1': {'A': 1, 'B': 1}}
1	48179567	48181888	cn={'1': {'A': 2, 'B': 1}}
1	48181889	48932934	cn={'1': {'A': 2, 'B': 1}}
1	48932935	48934806	cn={'1': {'A': 2, 'B': 1}}
1	48934807	56198114	cn={'1': {'A': 1, 'B': 1}}
1	56198115	56431114	cn={'1': {'A': 2, 'B': 1}}
1	56431115	73997742	cn={'1': {'A': 1, 'B': 1}}
1	73997743	73997899	cn={'1': {'A': 1, 'B': 1}}
1	73997900	99119211	cn={'1': {'A': 0, 'B': 1}}
1	99119212	99120582	cn={'1': {'A': 0, 'B': 2}}
1	99120583	99121340	cn={'1': {'A': 0, 'B': 1}}
1	99121341	99149967	cn={'1': {'A': 1, 'B': 1}}
1	99149968	99432013	cn={'1': {'A': 1, 'B': 1}}
1	99432014	99603319	cn={'1': {'A': 2, 'B': 1}}
1	99603320	99604078	cn={'1': {'A': 0, 'B': 1}}
1	99604079	100130817	cn={'1': {'A': 0, 'B': 1}}
1	100130818	100132770	cn={'1': {'A': 1, 'B': 1}}
1	100132771	100291992	cn={'1': {'A': 1, 'B': 1}}
1	100291993	100292810	cn={'1': {'A': 1, 'B': 1}}
1	100292811	100641302	cn={'1': {'A': 1, 'B': 0}}
1	100641303	100648594	cn={'1': {'A': 1, 'B': 4}}
1	100648595	110721783	cn={'1': {'A': 1, 'B': 2}}
1	110721784	110991608	cn={'1': {'A': 2, 'B': 2}}
1	110991609	112891450	cn={'1': {'A': 2, 'B': 2}}
1	112891451	112891704	cn={'1': {'A': 1, 'B': 2}}
1	112891705	114351133	cn={'1': {'A': 1, 'B': 2}}
1	114351134	249249999	cn={'1': {'A': 1, 'B': 2}}
10	50000	5953017	cn={'1': {'A': 0, 'B': 1}}
10	5953018	6080189	cn={'1': {'A': 1, 'B': 1}}
10	6080190	15284399	cn={'1': {'A': 0, 'B': 1}}
10	15284400	15287623	cn={'1': {'A': 0, 'B': 3}}
10	15287624	15296328	cn={'1': {'A': 0, 'B': 1}}
10	15296329	15301408	cn={'1': {'A': 0, 'B': 3}}
10	15301409	15301623	cn={'1': {'A': 0, 'B': 2}}
10	15301624	15312722	cn={'1': {'A': 2, 'B': 2}}
10	15312723	15313216	cn={'1': {'A': 2, 'B': 1}}
10	15313217	15378844	cn={'1': {'A': 2, 'B': 3}}
10	15378845	31008831	cn={'1': {'A': 2, 'B': 1}}
10	31008832	31013392	cn={'1': {'A': 2, 'B': 1}}
