chr	start	end	extra
1	0	149999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	150000	199999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	200000	249999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	250000	399999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	400000	549999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	550000	599999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	600000	649999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	650000	749999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	750000	799999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	800000	849999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	850000	999999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	1000000	1049999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	1050000	2549999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	2550000	2699999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	2700000	3899999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	3900000	3999999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	4000000	5149999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	5150000	5199999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	5200000	7649999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	7650000	7699999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	7700000	9099999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	9100000	9199999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	9200000	9949999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	9950000	9999999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	10000000	12799999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	12800000	12849999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	12850000	12999999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	13000000	13049999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	13050000	13099999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	13100000	13149999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	13150000	13199999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	13200000	13299999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	13300000	13399999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	13400000	13449999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	13450000	13499999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	13500000	13699999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	13700000	13749999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	13750000	13799999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	13800000	15799999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	15800000	15849999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	15850000	16849999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	16850000	16899999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	16900000	16949999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	16950000	17149999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	17150000	17199999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	17200000	20749999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	20750000	20799999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	20800000	21074999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	21075000	21174999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	21175000	21274999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	21275000	21449999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
1	21450000	21549999	cn={'2': {'A': 2, 'B': 2}, '3': {'A': 2, 'B': 0}}
